election_id,election_year,election_date,chamber,district_id,district_key,target_plan_id,target_plan_reference_vintage,regular_contest,district_total_area_sq_km,district_area_source_id,district_area_crs,district_area_water_treatment,total_population_estimate,total_population_moe,population_source_product_id,population_source_year,population_source_period_start,population_source_period_end,population_source_release_date,population_source_timing,population_moe_status,education_bachelors_plus_estimate,education_bachelors_plus_moe,education_bachelors_plus_share,education_below_high_school_estimate,education_below_high_school_moe,education_below_high_school_share,education_high_school_estimate,education_high_school_moe,education_high_school_share,education_population_25_plus_estimate,education_population_25_plus_moe,education_some_college_associate_estimate,education_some_college_associate_moe,education_some_college_associate_share,employment_armed_forces_estimate,employment_armed_forces_moe,employment_armed_forces_share,employment_employed_estimate,employment_employed_moe,employment_employed_share,employment_not_in_labor_force_estimate,employment_not_in_labor_force_moe,employment_not_in_labor_force_share,employment_population_16_plus_estimate,employment_population_16_plus_moe,employment_unemployed_estimate,employment_unemployed_moe,employment_unemployed_share,poverty_poverty_status_determined_estimate,poverty_poverty_status_determined_moe,poverty_ratio_0_50_0_99_estimate,poverty_ratio_0_50_0_99_moe,poverty_ratio_0_50_0_99_share,poverty_ratio_1_00_1_24_estimate,poverty_ratio_1_00_1_24_moe,poverty_ratio_1_00_1_24_share,poverty_ratio_1_25_1_49_estimate,poverty_ratio_1_25_1_49_moe,poverty_ratio_1_25_1_49_share,poverty_ratio_1_50_1_84_estimate,poverty_ratio_1_50_1_84_moe,poverty_ratio_1_50_1_84_share,poverty_ratio_1_85_1_99_estimate,poverty_ratio_1_85_1_99_moe,poverty_ratio_1_85_1_99_share,poverty_ratio_2_00_plus_estimate,poverty_ratio_2_00_plus_moe,poverty_ratio_2_00_plus_share,poverty_under_0_50_estimate,poverty_under_0_50_moe,poverty_under_0_50_share,employment_to_population_rate,civilian_unemployment_rate,labor_force_participation_rate,poverty_below_poverty_line_estimate,poverty_below_poverty_line_approx_moe,poverty_below_poverty_line_share,poverty_below_200_percent_estimate,poverty_below_200_percent_approx_moe,poverty_below_200_percent_share,socioeconomic_source_product_id,socioeconomic_source_year,socioeconomic_source_period_start,socioeconomic_source_period_end,socioeconomic_source_release_date,socioeconomic_source_timing,socioeconomic_moe_status,statewide_population_estimate,population_statewide_share,chamber_mean_district_population,population_deviation_from_chamber_mean_pct,population_per_total_sq_km,log_population_per_total_sq_km
pa_general_1992,1992,1992-11-03,senate,1,pa_senate_001,pa_senate_1991_final,1991,True,43.8337003,legislative_plan_geometry,EPSG:5070,includes_water,233232.9657,,dec_1990,1990,1990-04-01,1990-04-01,1991-12-31,latest_cutoff_safe_product,not_applicable_decennial_count,38678.36948,,0.2389051737,60442.62391,,0.3733367192,42080.37744,,0.2599183993,161898.4172,,20697.04636,,0.1278397079,1595.760765,,0.008237056823,103429.6634,,0.5338870545,78958.19796,,0.4075693409,193729.4837,,9745.861542,,0.05030654786,230812.7762,,23342.4497,,0.1011315322,11588.04392,,0.05020538337,11460.19889,,0.04965149277,16700.1148,,0.07235351127,7643.924592,,0.03311742408,134880.8775,,0.5843735332,25197.16677,,0.1091671232,0.5338870545,0.08611280175,0.5924306591,48539.61647,,0.2102986553,95931.89867,,0.4156264668,dec_socio_1990_stf3,1990,1989-01-01,1990-04-01,1992-08-27,latest_cutoff_safe_product,not_published_decennial_long_form_sample_estimate,11881643,0.01962968974,237632.86,-1.851551305,5320.859615,8.579390151
pa_general_1992,1992,1992-11-03,senate,2,pa_senate_002,pa_senate_1991_final,1991,False,36.5987333,legislative_plan_geometry,EPSG:5070,includes_water,238628.8805,,dec_1990,1990,1990-04-01,1990-04-01,1991-12-31,latest_cutoff_safe_product,not_applicable_decennial_count,12924.6474,,0.08689059392,62036.33655,,0.4170616004,53476.32368,,0.359513833,148746.22,,20308.91233,,0.1365339727,268.5113935,,0.001500107847,87968.03498,,0.4914560153,81228.53819,,0.453804086,178994.7264,,9529.641793,,0.05323979084,237185.1078,,25426.36429,,0.107200509,12431.31096,,0.0524118528,11672.29028,,0.04921173334,17561.41451,,0.07404096601,6531.528588,,0.02753768416,133270.2675,,0.5618829475,30291.93172,,0.1277143072,0.4914560153,0.09774224482,0.546195914,55718.29602,,0.2349148162,103914.8403,,0.4381170525,dec_socio_1990_stf3,1990,1989-01-01,1990-04-01,1992-08-27,latest_cutoff_safe_product,not_published_decennial_long_form_sample_estimate,11881643,0.02008382851,237632.86,0.4191425687,6520.140424,8.782651192
pa_general_1992,1992,1992-11-03,senate,3,pa_senate_003,pa_senate_1991_final,1991,True,34.50277889,legislative_plan_geometry,EPSG:5070,includes_water,236060.3512,,dec_1990,1990,1990-04-01,1990-04-01,1991-12-31,latest_cutoff_safe_product,not_applicable_decennial_count,12768.33788,,0.08867239958,60414.46568,,0.4195609242,48554.68879,,0.3371982169,143994.5004,,22257.00808,,0.1545684593,409.5855309,,0.002323879927,82743.3473,,0.4694638588,79596.91552,,0.4516118375,176250.7289,,13500.88052,,0.07660042375,229900.304,,27474.23286,,0.1195049871,14208.77268,,0.06180406216,13641.45488,,0.0593363934,16961.71811,,0.07377858062,6746.136779,,0.02934374884,115467.2664,,0.5022492987,35400.72223,,0.1539829292,0.4694638588,0.140277301,0.5483881625,62874.9551,,0.2734879163,114433.0376,,0.4977507013,dec_socio_1990_stf3,1990,1989-01-01,1990-04-01,1992-08-27,latest_cutoff_safe_product,not_published_decennial_long_form_sample_estimate,11881643,0.01986765224,237632.86,-0.6617387876,6841.777932,8.830802908
pa_general_1992,1992,1992-11-03,senate,4,pa_senate_004,pa_senate_1991_final,1991,False,75.31138849,legislative_plan_geometry,EPSG:5070,includes_water,236131.7727,,dec_1990,1990,1990-04-01,1990-04-01,1991-12-31,latest_cutoff_safe_product,not_applicable_decennial_count,40720.08423,,0.259984126,37344.39829,,0.2384314996,45452.84524,,0.2902012229,156625.2712,,33107.94344,,0.2113831515,343.8740937,,0.001837302184,112659.1101,,0.6019320235,64944.19408,,0.3469935998,187162.5128,,9215.334592,,0.04923707452,231344.8865,,14105.11378,,0.0609700694,7984.164442,,0.03451195556,7705.323345,,0.03330665078,11966.02205,,0.05172373694,5291.249259,,0.02287169316,170060.5526,,0.7350953598,14232.46105,,0.0615205344,0.6019320235,0.07561334632,0.6530064002,28337.57483,,0.1224906038,61284.33393,,0.2649046402,dec_socio_1990_stf3,1990,1989-01-01,1990-04-01,1992-08-27,latest_cutoff_safe_product,not_published_decennial_long_form_sample_estimate,11881643,0.01987366332,237632.86,-0.6316834082,3135.405911,8.050513922
pa_general_1992,1992,1992-11-03,senate,5,pa_senate_005,pa_senate_1991_final,1991,True,108.3181109,legislative_plan_geometry,EPSG:5070,includes_water,237832.0902,,dec_1990,1990,1990-04-01,1990-04-01,1991-12-31,latest_cutoff_safe_product,not_applicable_decennial_count,22069.15482,,0.135963868,47707.75547,,0.2939184132,63219.17198,,0.3894813019,162316.3209,,29320.23861,,0.1806364169,181.0849857,,0.0009397981337,110290.0116,,0.572385097,75760.50604,,0.3931832445,192684.9811,,6453.378482,,0.03349186036,229229.0164,,9618.734871,,0.04196124479,6600.366246,,0.0287937642,6625.314091,,0.02890259791,11281.91542,,0.04921678589,5207.761549,,0.02271859658,182639.7421,,0.7967566452,7255.182128,,0.03165036539,0.572385097,0.05527832005,0.6068167555,16873.917,,0.07361161018,46589.2743,,0.2032433548,dec_socio_1990_stf3,1990,1989-01-01,1990-04-01,1992-08-27,latest_cutoff_safe_product,not_published_decennial_long_form_sample_estimate,11881643,0.0200167679,237632.86,0.08383948781,2195.681665,7.694247831
pa_general_1992,1992,1992-11-03,senate,6,pa_senate_006,pa_senate_1991_final,1991,False,254.0084403,legislative_plan_geometry,EPSG:5070,includes_water,238681.3233,,dec_1990,1990,1990-04-01,1990-04-01,1991-12-31,latest_cutoff_safe_product,not_applicable_decennial_count,26484.30536,,0.1720389117,32156.97323,,0.2088878905,59493.32357,,0.3864615855,153943.6927,,35809.09055,,0.2326116122,233.1707756,,0.001272554608,123533.0587,,0.6741949655,53196.12141,,0.2903235589,183230.4674,,6268.116577,,0.03420892096,235747.7457,,6777.809773,,0.02875026335,4468.303407,,0.01895374819,5032.912363,,0.02134871894,10139.29166,,0.04300907154,4521.05753,,0.01917752179,199243.1801,,0.8451541268,5565.190804,,0.0236065494,0.6741949655,0.04829013732,0.7096764411,12343.00058,,0.05235681275,36504.56554,,0.1548458732,dec_socio_1990_stf3,1990,1989-01-01,1990-04-01,1992-08-27,latest_cutoff_safe_product,not_published_decennial_long_form_sample_estimate,11881643,0.02008824228,237632.86,0.4412113967,939.6590248,6.84551707
pa_general_1992,1992,1992-11-03,senate,7,pa_senate_007,pa_senate_1991_final,1991,True,56.35580055,legislative_plan_geometry,EPSG:5070,includes_water,234065.8251,,dec_1990,1990,1990-04-01,1990-04-01,1991-12-31,latest_cutoff_safe_product,not_applicable_decennial_count,26591.92185,,0.1767804164,51065.14386,,0.3394759298,46888.99355,,0.3117133034,150423.4598,,25877.4005,,0.1720303505,227.5793865,,0.001220458482,94996.47668,,0.5094453301,79807.00667,,0.4279875242,186470.4043,,11439.34158,,0.06134668726,227344.0105,,24919.45694,,0.1096112314,12522.10615,,0.05507999142,11214.92901,,0.0493302154,17102.78161,,0.07522864388,7592.018407,,0.03339440696,127312.8002,,0.5600006787,26679.91821,,0.1173548322,0.5094453301,0.1074764282,0.5720124758,51599.37515,,0.2269660636,100031.2103,,0.4399993213,dec_socio_1990_stf3,1990,1989-01-01,1990-04-01,1992-08-27,latest_cutoff_safe_product,not_published_decennial_long_form_sample_estimate,11881643,0.01969978606,237632.86,-1.50106972,4153.358178,8.331672486
pa_general_1992,1992,1992-11-03,senate,8,pa_senate_008,pa_senate_1991_final,1991,False,63.28763168,legislative_plan_geometry,EPSG:5070,includes_water,239373.6299,,dec_1990,1990,1990-04-01,1990-04-01,1991-12-31,latest_cutoff_safe_product,not_applicable_decennial_count,19141.71748,,0.1285967648,53967.11733,,0.3625587255,50668.45561,,0.3403978496,148850.6924,,25073.40199,,0.1684466601,2806.65283,,0.01508456329,94226.0209,,0.5064247207,77316.61086,,0.4155438454,186061.2586,,11711.97396,,0.06294687056,228065.3227,,25480.95012,,0.1117265432,12322.43407,,0.05403028362,11849.36217,,0.05195600118,16378.38787,,0.07181445946,7306.071839,,0.03203499661,126714.1334,,0.5556045605,28013.98322,,0.1228331554,0.5064247207,0.11055499,0.5844561546,53494.93335,,0.2345596986,101351.1893,,0.4443954395,dec_socio_1990_stf3,1990,1989-01-01,1990-04-01,1992-08-27,latest_cutoff_safe_product,not_published_decennial_long_form_sample_estimate,11881643,0.02014650919,237632.86,0.7325459343,3782.312966,8.238090997
pa_general_1992,1992,1992-11-03,senate,9,pa_senate_009,pa_senate_1991_final,1991,True,494.1507839,legislative_plan_geometry,EPSG:5070,includes_water,238909.7573,,dec_1990,1990,1990-04-01,1990-04-01,1991-12-31,latest_cutoff_safe_product,not_applicable_decennial_count,34428.19528,,0.2205286452,33745.7484,,0.2161572547,55087.33241,,0.3528600523,156116.6589,,32855.3828,,0.2104540478,311.688368,,0.001664792995,114416.067,,0.6111202291,66714.10112,,0.356334017,187223.498,,5781.641521,,0.0308809609,229842.9148,,9889.743801,,0.04302827351,6505.909423,,0.02830589505,6844.770691,,0.02978021184,11035.58681,,0.04801360453,4377.429674,,0.01904531048,181642.4359,,0.7902894726,9547.038464,,0.04153723195,0.6111202291,0.04810109604,0.643665983,19436.78226,,0.08456550546,48200.47887,,0.2097105274,dec_socio_1990_stf3,1990,1989-01-01,1990-04-01,1992-08-27,latest_cutoff_safe_product,not_published_decennial_long_form_sample_estimate,11881643,0.02010746807,237632.86,0.5373403747,483.475419,6.181000474
pa_general_1992,1992,1992-11-03,senate,10,pa_senate_010,pa_senate_1991_final,1991,False,1217.881936,legislative_plan_geometry,EPSG:5070,includes_water,236741.7777,,dec_1990,1990,1990-04-01,1990-04-01,1991-12-31,latest_cutoff_safe_product,not_applicable_decennial_count,50668.99627,,0.3226533157,22429.38976,,0.1428273206,46786.24186,,0.2979284608,157038.511,,37153.88311,,0.2365909029,296.9739989,,0.001619550759,124314.8823,,0.6779524901,54821.22109,,0.2989680934,183368.1329,,3935.055505,,0.0214598657,231978.1524,,3650.94334,,0.01573830683,3253.586365,,0.01402539994,3453.063537,,0.01488529632,6008.016609,,0.02589906225,3320.613921,,0.01431433903,209271.1072,,0.9021155876,3020.821354,,0.01302200799,0.6779524901,0.03068270887,0.7010319066,6671.764694,,0.02876031482,22707.04513,,0.09788441237,dec_socio_1990_stf3,1990,1989-01-01,1990-04-01,1992-08-27,latest_cutoff_safe_product,not_published_decennial_long_form_sample_estimate,11881643,0.01992500344,237632.86,-0.3749827878,194.3881181,5.269856769
