source_id,status,producer,product,reference_vintage,effective_vintage,coverage,url,sha256,license_access,crs,notes
census_2020_pa_blocks,confirmed,U.S. Census Bureau,2020 PL 94-171 TIGER Line PA tabulation blocks,2020,2020-01-01,Pennsylvania,https://www2.census.gov/geo/tiger/TIGER2020PL/STATE/42_PENNSYLVANIA/42/tl_2020_42_tabblock20.zip,f2afff2b2a84170a3cf16bca52137562828d2811133419f22981ec790b2fbebb,Public federal data; acknowledge Census Bureau,EPSG:4269,336985 PA rows and 5609 Cumberland rows verified 2026-08-06
census_2020_pa_pl,confirmed,U.S. Census Bureau,2020 Census State Redistricting Data PL 94-171 Summary File,2020-04-01,2020-04-01,Pennsylvania,https://www2.census.gov/programs-surveys/decennial/2020/data/01-Redistricting_File--PL_94-171/Pennsylvania/pa2020.pl.zip,2d33a7dab29c8dd5692bbde203d253e06eebbc44fcbaa96b1caa958d454026ae,Public federal data; cite Census Bureau,none,Block P0010001 totals 13002700 PA and 259469 Cumberland verified 2026-08-06
census_2010_pa_blocks,confirmed,U.S. Census Bureau,2010 TIGER Line Pennsylvania tabulation blocks,2010,2010 Census tabulation geography,Pennsylvania,https://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2010/tl_2010_42_tabblock10.zip,fc33d93eb53e71b0d61c3aa35d496a8a8b8d192933d68ebef206ccbaa9e19152,Public federal data; acknowledge Census Bureau,EPSG:4269,POC011 confirms 421545 unique valid block geometries and exact population key coverage
census_2010_pa_pl,confirmed,U.S. Census Bureau,2010 Census Redistricting Data PL 94-171 Summary File,2010-04-01,2010-04-01,Pennsylvania,https://www2.census.gov/census_2010/01-Redistricting_File--PL_94-171/Pennsylvania/pa2010.pl.zip,3cf2460ea17d1be087d9b12700e45962b164f6233f8c1071ddc67ab55392951a,Public federal data; cite Census Bureau,none,Released 2011-03-09; POC011 parses 421545 block P0010001 rows totaling 12702379
census_2000_pa_blocks,confirmed,U.S. Census Bureau,2010 TIGER Line Census 2000 Pennsylvania tabulation blocks,2000,Census 2000 tabulation geography,Pennsylvania,https://www2.census.gov/geo/tiger/TIGER2010/TABBLOCK/2000/tl_2010_42_tabblock00.zip,a5771874f846018ddf7d3761939a8e9cd3ecdf8d34364caa53e84630707c85dc,Public federal data; acknowledge Census Bureau,EPSG:4269,POC012 confirms 322424 unique valid block geometries and exact population key coverage
census_2000_pa_pl_geography,confirmed,U.S. Census Bureau,Census 2000 Redistricting Data PL 94-171 geography header,2000-04-01,2000-04-01,Pennsylvania,https://www2.census.gov/census_2000/datasets/redistricting_file--pl_94-171/Pennsylvania/pageo.upl.zip,34d4079451e3d3e1396b76287d54d0a96814de8d46059a327547b74c8ea3f672,Public federal data; cite Census Bureau,none,Released 2001-03-09; fixed-width block geography joins File 01 by LOGRECNO
census_2000_pa_pl_file01,confirmed,U.S. Census Bureau,Census 2000 Redistricting Data PL 94-171 File 01,2000-04-01,2000-04-01,Pennsylvania,https://www2.census.gov/census_2000/datasets/redistricting_file--pl_94-171/Pennsylvania/pa00001.upl.zip,888e21ecac795732564c7cd1fa3122cac58f22a006ade8f907d437cbe7a6fe0f,Public federal data; cite Census Bureau,none,Released 2001-03-09; POC012 parses 322424 block total-population rows totaling 12281054
pa_lrc_2021_release_1b_geography,confirmed,Pennsylvania Legislative Reapportionment Commission,2021-10-05 LRC Data Release No. 1b Data Set 1 geography,2020,2021-10-05,Pennsylvania,https://www.redistricting.state.pa.us/resources/GISData/Census/2021/2021-DataSet1-WithoutPrisoner/2021%20LRC%20Data%20Release%201b%20-%20Geography.zip,14187001c627c6a16bf967415059408c4ef7007d366fd9105b5be30763250e3b,Public download; redistribution terms not stated,EPSG:4269,POC021 proves coverage of all 336985 Census parent blocks through 337039 corrected fragments and all 9178 fixed precincts; 53 split parents and no nearest assignments
census_2010_2020_block_relationship_pa,confirmed,U.S. Census Bureau,2010 to 2020 Census tabulation block relationship file,2010/2020,comparability support product,Pennsylvania,https://www2.census.gov/geo/docs/maps-data/data/rel2020/t10t20/TAB2010_TAB2020_ST42.zip,6e8ac323b98bf7259dac59ae7000c14fa72ce38207f77648d08645bbea29a323,Public federal data,none,POC011 profiles 464515 PA-source rows and 421542 source blocks; three omitted sources have zero population; intersection areas contain no population
census_2000_2010_block_relationship_pa,confirmed,U.S. Census Bureau,2000 to 2010 Census tabulation block relationship file,2000/2010,comparability support product,Pennsylvania,https://www2.census.gov/geo/docs/maps-data/data/rel/t00t10/TAB2000_TAB2010_ST_42_v2.zip,ab32c86a78d72e39d791167b8eec6f960934cd13c0878833641d0c36e4be5fa7,Public federal data,none,POC012 profiles 505426 rows and all 322424 source blocks; intersection areas contain no population
